ID,Scientific Name,Common Name,Common Name (Malay),Poisoning Action,Poisoning Action (Malay),Symptoms,Symptoms (Malay),Image Folder
15,Dioscorea hispida,Intoxicating Yam,Ubi Gadong,Ingestion (raw),Tertelan (mentah),"Dizziness, vomiting, convulsions (Dioscorine poisoning)","Pening, muntah, sawan (keracunan Dioscorine)",dataset/toxic_plants/dioscorea_hispida
16,Euphorbia hirta,Asthma Plant,Ara Tanah,Ingestion; Contact,Tertelan; Sentuhan,"Nausea, vomiting; latex causes skin irritation","Loya, muntah; getah menyebabkan iritasi kulit",dataset/toxic_plants/euphorbia_hirta
17,Euphorbia milii,Crown of Thorns,Mahkota Duri,Contact; Ingestion,Sentuhan; Tertelan,Latex causes skin/eye irritation; vomiting if ingested,Getah menyebabkan iritasi kulit/mata; muntah jika tertelan,dataset/toxic_plants/euphorbia_milii
18,Euphorbia tirucalli,Pencil Tree,Pokok Tulang / Kayu Patah,Contact (latex); Ingestion,Sentuhan (getah); Tertelan,"Severe eye damage, skin burning; vomiting if ingested","Kerosakan mata teruk, kulit terbakar; muntah jika tertelan",dataset/toxic_plants/euphorbia_tirucalli
19,Euphorbia tithymaloides,Devil's Backbone,Pokok Lipan / Penawar Lilin,Ingestion; Contact,Tertelan; Sentuhan,"Oral irritation, vomiting; latex causes dermatitis","Iritasi mulut, muntah; getah menyebabkan dermatitis",dataset/toxic_plants/euphorbia_tithymaloides
20,Excoecaria agallocha,Blind-your-eye Mangrove,Bebuta / Buta-buta,Contact (latex); Ingestion,Sentuhan (getah); Tertelan,"Severe eye irritation (risk of blindness), skin blistering","Iritasi mata teruk (risiko buta), kulit melepuh",dataset/toxic_plants/excoecaria_agallocha
21,Heliconia rostrata,Hanging Lobster Claw,Heliconia,Ingestion,Tertelan,"Mild GI upset, low toxicity","Gangguan perut ringan, ketoksikan rendah",dataset/toxic_plants/heliconia_rostrata
22,Kigelia africana,Sausage Tree,Pokok Sosej,Ingestion (unripe fruit),Tertelan (buah mentah),"Purgative effect, blistering in mouth if raw","Kesan julap, melepuh dalam mulut jika mentah",dataset/toxic_plants/kigelia_africana
23,Nerium oleander,Oleander,Bunga Jepun,Ingestion; Contact,Tertelan; Sentuhan,"Severe cardiotoxicity, arrhythmia, nausea, fatal","Kardiotoksisiti teruk, aritmia, loya, maut",dataset/toxic_plants/nerium_oleander
24,Physalis minima,Wild Gooseberry,Letup-letup / Ciplukan,Ingestion (unripe),Tertelan (mentah),"GI upset, potential toxicity if consumed raw/unripe","Gangguan perut, berpotensi beracun jika dimakan mentah",dataset/toxic_plants/physalis_minima
25,Phytolacca octandra,Inkweed,Bayam Merah (Beracun),Ingestion,Tertelan,"Vomiting, diarrhea, convulsions (Saponins)","Muntah, cirit-birit, sawan (Saponin)",dataset/toxic_plants/phytolacca_octandra
26,Senna alata,Candle Bush,Gelenggang,Ingestion,Tertelan,"Stomach cramping, diarrhea (Laxative properties)","Kram perut, cirit-birit (sifat julap)",dataset/toxic_plants/senna_alata
27,Solanum nigrum,Black Nightshade,Terung Meranti / Ranti,Ingestion (unripe berries),Tertelan (buah mentah),"Nausea, vomiting, headache (Solanine poisoning)","Loya, muntah, sakit kepala (keracunan Solanine)",dataset/toxic_plants/solanum_nigrum
28,Sterculia foetida,Bastard Poon Tree,Kelumpang Jari,Ingestion (raw seeds),Tertelan (biji mentah),"Nausea, vomiting, laxative effect","Loya, muntah, kesan julap",dataset/toxic_plants/sterculia_foetida
29,Strychnos nux-vomica,Nux Vomica,Kacang Kucing / Bidara Laut,Ingestion,Tertelan,"Muscle spasms, convulsions, respiratory failure (Strychnine)","Kejang otot, sawan, kegagalan pernafasan (Strychnine)",dataset/toxic_plants/strychnos_nux-vomica
30,Toxicodendron radicans,Poison Ivy,Jelatang / Poison Ivy,Contact,Sentuhan,"Severe allergic dermatitis, itching, blistering rash","Dermatitis alahan teruk, gatal, ruam melepuh",dataset/toxic_plants/toxicodendron_radicans
